initial_number_sheep,initial_number_wolves,grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,technique,sample_size
247,201,35,19,4,15,19,random,10000
18,207,50,46,41,8,3,random,10000
46,48,67,12,31,19,14,random,10000
69,235,29,24,90,15,4,random,10000
158,52,71,0,20,15,18,random,10000
243,228,61,47,47,5,13,random,10000
220,220,14,1,85,6,13,random,10000
12,13,59,39,82,18,19,random,10000
74,164,3,1,14,6,0,random,10000
128,213,47,33,94,17,12,random,10000
28,172,62,43,36,14,5,random,10000
47,21,75,49,50,5,2,random,10000
114,152,76,8,89,1,8,random,10000
110,127,35,10,35,12,0,random,10000
250,179,75,10,98,9,9,random,10000
38,57,99,15,61,18,5,random,10000
146,220,92,28,98,17,1,random,10000
128,194,10,33,6,12,7,random,10000
27,42,61,33,67,14,1,random,10000
77,50,28,14,36,10,7,random,10000
49,171,97,28,67,3,3,random,10000
206,177,60,24,93,5,18,random,10000
160,26,73,49,40,14,5,random,10000
184,75,71,25,42,20,5,random,10000
64,250,0,33,77,13,8,random,10000
48,60,63,20,66,17,1,random,10000
79,119,38,13,69,6,5,random,10000
175,58,80,19,11,2,0,random,10000
102,126,27,28,93,19,9,random,10000
6,243,13,25,94,16,14,random,10000
59,128,36,20,50,9,7,random,10000
17,151,39,39,32,13,19,random,10000
1,46,22,25,38,8,8,random,10000
92,115,81,47,40,16,5,random,10000
67,96,0,20,28,13,17,random,10000
190,63,11,27,7,14,4,random,10000
216,228,3,13,100,9,19,random,10000
104,2,2,50,69,18,8,random,10000
109,208,24,3,77,13,14,random,10000
66,214,27,33,29,7,19,random,10000
116,107,29,27,4,5,1,random,10000
158,168,83,20,98,12,6,random,10000
104,117,76,47,52,17,13,random,10000
138,229,63,1,44,2,1,random,10000
58,22,47,45,94,11,0,random,10000
33,67,92,31,94,15,3,random,10000
61,119,93,5,68,19,12,random,10000
177,127,75,27,76,2,10,random,10000
246,1,61,38,2,20,16,random,10000
123,201,95,12,79,11,11,random,10000
118,87,68,9,9,2,2,random,10000
51,19,33,1,43,12,9,random,10000
194,88,47,26,8,3,17,random,10000
211,185,10,50,37,19,7,random,10000
127,151,43,31,76,19,12,random,10000
55,179,88,9,15,3,7,random,10000
216,160,60,2,24,7,6,random,10000
88,115,97,2,39,7,19,random,10000
38,130,85,35,25,16,2,random,10000
133,43,42,1,22,17,9,random,10000
15,85,80,24,75,7,18,random,10000
242,127,3,48,18,9,17,random,10000
41,56,58,38,1,13,18,random,10000
166,102,46,15,7,5,14,random,10000
249,173,36,23,73,20,20,random,10000
162,134,40,9,43,16,18,random,10000
56,36,84,20,33,17,7,random,10000
212,99,71,34,15,17,10,random,10000
200,152,9,0,75,13,6,random,10000
128,146,31,16,73,9,19,random,10000
247,229,43,25,86,9,9,random,10000
39,153,29,49,80,6,2,random,10000
212,245,43,14,91,1,14,random,10000
88,105,43,3,23,4,14,random,10000
188,23,36,44,40,8,17,random,10000
19,144,49,23,90,1,9,random,10000
171,122,50,43,17,2,17,random,10000
244,245,32,33,29,19,3,random,10000
224,43,31,32,4,19,4,random,10000
73,237,91,47,21,3,2,random,10000
222,2,78,20,99,12,3,random,10000
203,60,29,27,38,16,13,random,10000
155,218,61,21,72,19,12,random,10000
239,10,26,50,60,3,1,random,10000
33,237,5,21,87,9,13,random,10000
41,211,31,42,58,18,11,random,10000
225,31,36,32,15,16,2,random,10000
246,213,25,46,48,5,7,random,10000
91,61,82,1,62,14,0,random,10000
213,169,72,9,40,6,8,random,10000
76,223,35,22,61,3,9,random,10000
149,38,23,48,90,14,3,random,10000
185,37,19,15,10,5,4,random,10000
64,215,66,36,12,5,8,random,10000
153,7,62,0,1,18,12,random,10000
83,16,72,18,39,14,6,random,10000
234,249,31,49,24,9,6,random,10000
184,17,38,30,57,9,2,random,10000
39,212,27,37,92,16,15,random,10000
186,122,5,31,54,20,1,random,10000
140,180,54,50,34,8,19,random,10000
68,154,53,11,61,17,16,random,10000
172,14,65,50,49,7,12,random,10000
154,246,76,50,64,3,14,random,10000
88,60,58,23,29,6,2,random,10000
165,54,4,26,100,15,16,random,10000
155,149,98,1,89,16,16,random,10000
60,60,48,47,24,4,11,random,10000
132,93,27,16,29,1,17,random,10000
239,250,98,17,10,6,12,random,10000
129,30,58,3,30,7,12,random,10000
120,24,2,42,82,19,10,random,10000
58,17,55,38,42,19,8,random,10000
155,187,73,35,34,12,1,random,10000
52,149,42,39,48,15,16,random,10000
95,78,64,24,83,2,7,random,10000
128,52,93,28,37,18,8,random,10000
144,133,32,47,16,2,0,random,10000
192,94,89,1,59,8,16,random,10000
184,46,28,31,72,18,17,random,10000
206,188,33,29,24,19,3,random,10000
210,29,37,12,80,11,13,random,10000
152,132,64,15,66,15,4,random,10000
127,57,40,3,1,3,5,random,10000
227,17,81,13,95,16,17,random,10000
17,177,61,0,85,7,10,random,10000
82,87,81,10,46,4,4,random,10000
173,13,50,2,47,19,9,random,10000
141,35,34,9,6,8,10,random,10000
240,97,43,48,0,6,17,random,10000
67,174,86,43,92,4,20,random,10000
9,42,55,25,50,6,17,random,10000
241,190,43,47,8,4,17,random,10000
68,64,39,30,60,3,0,random,10000
74,94,77,40,11,18,2,random,10000
175,39,68,32,46,20,17,random,10000
91,21,42,26,47,14,10,random,10000
200,136,48,23,31,6,14,random,10000
65,173,43,30,13,13,13,random,10000
150,174,18,1,12,10,16,random,10000
152,89,24,47,62,9,4,random,10000
148,197,18,22,17,12,15,random,10000
158,6,86,3,36,11,4,random,10000
199,134,25,4,73,3,0,random,10000
211,62,54,15,20,15,12,random,10000
199,160,73,9,74,12,14,random,10000
235,131,83,6,94,3,7,random,10000
113,189,55,23,85,10,19,random,10000
66,62,2,15,43,20,20,random,10000
233,198,37,44,38,16,9,random,10000
90,110,36,15,34,16,11,random,10000
81,105,98,35,88,5,3,random,10000
130,67,71,35,50,19,19,random,10000
33,150,15,8,50,9,6,random,10000
132,110,0,7,80,13,10,random,10000
133,36,88,41,45,15,9,random,10000
92,62,2,46,82,13,14,random,10000
106,23,85,50,94,15,4,random,10000
95,232,91,6,75,14,11,random,10000
233,5,75,47,32,10,0,random,10000
218,19,85,28,97,12,13,random,10000
3,242,75,2,76,16,5,random,10000
71,48,9,8,76,5,0,random,10000
71,205,39,9,72,12,10,random,10000
230,212,29,5,57,13,4,random,10000
192,151,40,41,70,19,8,random,10000
85,103,26,28,96,15,12,random,10000
200,185,79,31,60,12,19,random,10000
8,94,57,35,31,18,7,random,10000
213,104,17,48,92,18,14,random,10000
21,183,55,3,15,6,5,random,10000
230,118,63,27,23,18,13,random,10000
231,169,26,27,32,11,2,random,10000
92,225,37,18,19,2,12,random,10000
68,82,33,20,13,19,9,random,10000
175,38,81,6,68,3,11,random,10000
57,230,48,0,67,2,17,random,10000
86,163,66,0,16,1,6,random,10000
196,74,75,15,20,6,6,random,10000
95,55,4,37,72,1,3,random,10000
65,207,23,13,65,17,15,random,10000
155,23,62,3,30,12,12,random,10000
72,233,57,41,90,20,11,random,10000
83,135,83,15,81,14,8,random,10000
143,242,76,44,46,19,12,random,10000
247,23,96,25,78,13,7,random,10000
153,76,73,20,1,17,13,random,10000
226,105,39,31,57,8,12,random,10000
230,228,48,1,20,20,3,random,10000
248,217,93,45,27,4,15,random,10000
159,29,66,7,5,5,3,random,10000
14,28,25,41,50,5,20,random,10000
42,137,66,34,67,3,1,random,10000
164,17,34,44,27,2,20,random,10000
87,13,94,1,70,16,7,random,10000
170,41,86,14,55,9,9,random,10000
10,227,63,1,86,8,16,random,10000
250,124,69,40,95,3,9,random,10000
99,172,50,32,38,17,19,random,10000
144,147,41,41,76,15,11,random,10000
240,149,63,31,4,5,18,random,10000
52,135,5,29,20,4,9,random,10000
198,250,23,24,26,13,19,random,10000
188,109,59,22,64,7,1,random,10000
110,185,41,2,40,6,16,random,10000
38,165,9,26,29,14,7,random,10000
97,164,44,16,89,16,6,random,10000
210,92,8,34,61,15,10,random,10000
172,142,93,39,51,5,16,random,10000
201,214,79,6,26,3,19,random,10000
221,147,29,15,92,17,2,random,10000
124,113,93,33,7,13,1,random,10000
65,214,9,33,43,5,17,random,10000
41,80,44,29,95,6,6,random,10000
28,57,47,34,96,11,1,random,10000
67,103,36,3,87,13,15,random,10000
223,146,46,29,9,20,8,random,10000
124,104,38,45,24,9,19,random,10000
74,37,81,34,8,16,20,random,10000
2,181,89,44,57,11,6,random,10000
155,163,95,11,42,11,20,random,10000
221,91,72,28,71,8,17,random,10000
102,153,79,45,43,1,3,random,10000
155,250,45,47,12,5,14,random,10000
96,7,38,48,97,5,18,random,10000
175,173,91,33,42,7,15,random,10000
71,130,43,11,86,1,10,random,10000
101,210,11,28,91,13,0,random,10000
38,201,10,26,71,15,9,random,10000
236,47,99,2,26,19,9,random,10000
204,72,16,17,43,19,19,random,10000
185,152,60,9,61,20,12,random,10000
120,199,4,30,1,3,5,random,10000
213,184,22,41,38,11,2,random,10000
228,159,18,36,67,6,4,random,10000
123,165,34,42,68,6,7,random,10000
146,79,82,4,36,20,12,random,10000
140,162,67,37,30,12,1,random,10000
213,140,83,28,90,1,11,random,10000
141,28,53,14,57,17,4,random,10000
194,21,58,13,54,11,3,random,10000
131,233,1,26,40,19,5,random,10000
56,110,79,21,30,2,19,random,10000
215,213,33,18,31,4,1,random,10000
192,25,46,34,13,4,6,random,10000
30,46,1,38,48,1,11,random,10000
113,41,0,22,95,6,12,random,10000
109,65,92,43,44,7,19,random,10000
69,134,11,0,22,3,4,random,10000
131,28,44,22,64,20,5,random,10000
223,207,7,37,4,12,11,random,10000
232,114,93,43,48,10,6,random,10000
57,176,58,11,59,15,20,random,10000
182,33,34,50,6,9,15,random,10000
170,214,44,10,29,12,12,random,10000
80,52,84,4,6,5,5,random,10000
219,17,49,9,15,4,8,random,10000
70,209,91,46,70,10,14,random,10000
246,82,27,26,54,6,6,random,10000
238,207,61,34,80,1,1,random,10000
69,110,79,10,64,2,4,random,10000
47,31,65,35,33,18,9,random,10000
207,65,20,35,41,12,18,random,10000
27,230,29,0,4,20,8,random,10000
48,75,90,41,90,4,20,random,10000
48,146,9,10,80,6,2,random,10000
12,156,38,13,95,11,11,random,10000
132,76,12,46,18,17,7,random,10000
217,33,34,13,78,16,3,random,10000
210,34,46,3,85,16,17,random,10000
49,210,43,17,60,6,16,random,10000
71,149,93,19,40,13,12,random,10000
21,25,31,33,12,8,9,random,10000
5,38,9,0,51,18,1,random,10000
103,133,73,6,83,20,7,random,10000
4,87,4,1,25,1,20,random,10000
52,226,30,10,15,3,9,random,10000
15,247,55,9,48,11,2,random,10000
61,61,6,30,48,15,17,random,10000
152,43,98,41,12,7,13,random,10000
82,168,86,30,83,20,4,random,10000
218,68,54,9,2,20,10,random,10000
233,205,28,45,69,15,12,random,10000
171,152,10,6,27,13,1,random,10000
176,109,43,16,99,7,3,random,10000
189,58,8,37,53,8,11,random,10000
108,208,31,44,48,10,20,random,10000
158,209,28,39,77,19,20,random,10000
55,159,54,16,80,20,16,random,10000
152,114,50,35,61,9,7,random,10000
0,109,42,10,59,4,5,random,10000
239,107,98,36,9,17,18,random,10000
82,29,68,35,78,15,3,random,10000
137,244,74,49,72,10,8,random,10000
4,205,0,5,47,6,6,random,10000
87,174,90,41,57,16,8,random,10000
212,160,99,24,87,16,13,random,10000
244,10,50,10,24,16,13,random,10000
164,100,43,0,25,3,15,random,10000
207,32,34,9,63,7,13,random,10000
108,121,29,20,91,11,0,random,10000
137,187,21,19,22,1,5,random,10000
34,158,98,14,70,11,5,random,10000
133,203,100,11,78,19,4,random,10000
59,161,85,5,10,18,7,random,10000
99,187,75,4,71,18,18,random,10000
46,3,68,18,83,15,19,random,10000
221,126,14,42,9,12,18,random,10000
98,70,51,7,60,1,11,random,10000
244,45,84,14,96,12,2,random,10000
5,104,58,31,30,13,15,random,10000
136,163,11,50,12,9,12,random,10000
157,210,48,37,100,3,1,random,10000
238,245,3,31,34,3,3,random,10000
22,176,59,29,5,7,16,random,10000
242,195,0,3,70,9,19,random,10000
15,176,46,33,59,20,0,random,10000
10,40,40,36,78,10,2,random,10000
38,72,25,22,34,20,6,random,10000
17,123,62,29,40,8,3,random,10000
4,64,24,46,47,12,20,random,10000
97,115,53,31,46,8,17,random,10000
48,182,74,6,20,16,7,random,10000
101,174,31,26,44,2,11,random,10000
112,216,84,33,92,10,16,random,10000
184,22,95,12,29,9,16,random,10000
216,192,43,36,11,16,5,random,10000
218,79,2,10,66,8,16,random,10000
83,189,24,38,87,18,9,random,10000
65,127,1,47,67,16,15,random,10000
218,99,27,13,63,14,18,random,10000
45,149,55,49,12,2,16,random,10000
183,161,34,24,88,9,13,random,10000
157,50,0,5,91,5,15,random,10000
88,70,9,23,75,11,3,random,10000
137,125,65,5,40,8,9,random,10000
201,106,32,34,81,9,14,random,10000
152,219,85,18,16,15,9,random,10000
198,108,95,41,31,1,2,random,10000
156,9,99,40,45,7,5,random,10000
54,75,50,12,82,6,5,random,10000
222,26,66,33,36,11,6,random,10000
143,47,72,30,55,2,18,random,10000
150,91,99,14,98,1,3,random,10000
85,80,25,8,62,6,12,random,10000
184,70,96,41,46,10,1,random,10000
179,250,76,2,6,9,17,random,10000
244,141,98,33,21,15,13,random,10000
108,130,82,43,71,12,1,random,10000
55,150,37,23,90,13,8,random,10000
154,190,79,21,53,10,5,random,10000
183,162,35,0,60,3,5,random,10000
54,44,82,43,78,9,14,random,10000
20,68,51,1,50,10,13,random,10000
207,199,19,46,8,5,4,random,10000
168,219,47,46,49,7,15,random,10000
215,214,38,23,62,7,14,random,10000
237,140,26,6,50,9,1,random,10000
204,23,89,20,57,6,2,random,10000
86,167,29,31,74,17,14,random,10000
231,46,11,6,38,7,6,random,10000
7,156,28,22,71,4,7,random,10000
236,83,19,15,64,5,16,random,10000
119,234,80,39,86,4,0,random,10000
214,5,21,12,18,7,9,random,10000
152,10,16,41,72,17,16,random,10000
118,36,3,40,58,3,10,random,10000
18,71,21,1,86,20,8,random,10000
135,225,41,16,31,3,10,random,10000
148,237,57,3,36,11,7,random,10000
177,183,86,46,46,7,7,random,10000
166,88,92,7,9,15,16,random,10000
242,107,96,15,61,8,1,random,10000
27,22,81,38,83,3,12,random,10000
141,248,51,25,3,3,0,random,10000
133,193,38,32,90,13,10,random,10000
10,66,26,42,94,4,19,random,10000
128,185,49,42,13,17,3,random,10000
149,223,3,47,35,8,20,random,10000
160,112,71,27,58,11,16,random,10000
40,176,71,6,34,9,11,random,10000
14,185,51,40,52,10,1,random,10000
62,94,71,42,5,12,16,random,10000
128,134,66,1,25,12,18,random,10000
113,110,51,9,9,15,6,random,10000
29,178,20,25,3,12,7,random,10000
221,139,36,24,2,2,2,random,10000
212,203,69,17,91,19,8,random,10000
75,169,62,6,91,20,6,random,10000
92,218,68,1,92,18,0,random,10000
71,194,5,10,56,16,17,random,10000
198,14,58,6,73,7,16,random,10000
19,44,73,35,58,13,1,random,10000
250,90,93,2,85,6,3,random,10000
199,31,70,6,8,17,4,random,10000
175,227,60,47,86,4,17,random,10000
94,136,14,12,19,20,6,random,10000
61,226,58,16,99,14,4,random,10000
84,29,35,26,98,14,19,random,10000
2,126,16,11,100,18,20,random,10000
6,82,8,48,33,16,0,random,10000
63,178,26,41,45,1,3,random,10000
218,81,40,16,45,20,10,random,10000
157,83,44,18,85,4,13,random,10000
105,223,77,37,67,16,18,random,10000
121,70,8,46,62,16,15,random,10000
14,120,79,16,80,20,6,random,10000
95,36,69,30,19,13,1,random,10000
127,136,21,48,20,16,10,random,10000
147,38,52,43,69,17,17,random,10000
63,111,99,21,92,6,20,random,10000
10,180,24,6,32,15,13,random,10000
88,237,95,37,30,12,11,random,10000
119,215,26,44,44,1,14,random,10000
201,144,98,19,84,18,14,random,10000
234,195,74,49,5,15,14,random,10000
181,121,44,18,57,17,6,random,10000
47,209,26,50,82,1,5,random,10000
93,218,54,0,89,16,15,random,10000
18,226,5,28,100,5,10,random,10000
161,33,70,22,85,16,2,random,10000
154,7,5,18,27,17,16,random,10000
61,190,98,28,57,7,2,random,10000
36,92,8,48,91,17,20,random,10000
147,78,40,25,43,8,6,random,10000
110,134,83,8,56,4,20,random,10000
249,151,3,46,45,15,0,random,10000
131,108,29,12,61,19,4,random,10000
167,214,10,36,0,15,8,random,10000
14,116,8,20,58,7,13,random,10000
87,32,12,37,65,16,15,random,10000
92,198,2,24,10,12,8,random,10000
182,166,29,44,93,6,10,random,10000
188,186,23,21,6,13,1,random,10000
125,120,91,45,69,2,4,random,10000
74,95,7,39,5,18,0,random,10000
215,115,53,13,87,11,0,random,10000
136,67,37,23,24,2,18,random,10000
27,4,29,49,36,8,3,random,10000
7,52,43,0,28,7,0,random,10000
108,81,2,31,38,12,16,random,10000
42,79,36,50,40,1,16,random,10000
204,53,72,33,47,13,4,random,10000
184,124,59,27,81,18,13,random,10000
147,160,61,46,93,18,5,random,10000
37,244,40,45,43,19,4,random,10000
11,162,91,19,86,5,4,random,10000
98,184,33,35,55,1,1,random,10000
32,192,4,32,44,2,15,random,10000
142,153,73,1,26,3,20,random,10000
27,113,84,12,6,8,6,random,10000
149,199,93,12,82,7,4,random,10000
173,152,96,43,51,15,9,random,10000
201,230,1,16,72,10,3,random,10000
94,224,30,10,27,1,15,random,10000
194,155,40,46,45,2,0,random,10000
203,81,66,15,99,7,4,random,10000
34,238,59,24,29,10,1,random,10000
107,226,34,46,5,2,11,random,10000
18,198,90,8,22,18,20,random,10000
204,125,96,25,32,4,13,random,10000
250,122,2,37,15,6,0,random,10000
165,242,52,33,64,15,5,random,10000
105,38,1,47,35,11,2,random,10000
101,239,7,45,26,13,8,random,10000
75,197,82,9,26,9,15,random,10000
95,178,84,12,19,10,2,random,10000
9,58,51,34,28,15,17,random,10000
70,178,36,5,10,15,7,random,10000
134,19,99,27,22,10,15,random,10000
227,1,49,23,6,17,13,random,10000
1,96,67,35,79,18,11,random,10000
8,71,65,5,80,18,15,random,10000
181,129,90,2,31,20,13,random,10000
70,230,54,36,36,10,6,random,10000
83,197,22,2,89,2,0,random,10000
105,73,56,15,76,5,17,random,10000
61,104,89,7,28,7,10,random,10000
163,102,21,35,64,17,17,random,10000
33,71,62,20,10,10,14,random,10000
227,109,62,45,70,16,18,random,10000
134,205,39,22,16,10,17,random,10000
108,216,71,16,8,2,13,random,10000
128,95,58,49,27,2,4,random,10000
78,100,25,3,19,6,17,random,10000
100,59,56,19,52,18,6,random,10000
147,217,59,32,89,15,3,random,10000
162,82,26,27,53,16,1,random,10000
190,84,46,14,46,9,1,random,10000
18,97,81,20,12,17,4,random,10000
42,47,7,5,99,18,18,random,10000
51,4,82,50,21,5,17,random,10000
82,110,68,27,63,19,1,random,10000
6,48,26,22,89,12,17,random,10000
89,132,60,27,88,10,4,random,10000
218,80,81,23,22,3,7,random,10000
75,96,34,23,56,17,19,random,10000
145,165,35,20,99,14,1,random,10000
8,142,95,29,80,16,6,random,10000
229,199,87,13,92,3,2,random,10000
108,3,61,8,79,20,9,random,10000
9,62,76,19,67,13,16,random,10000
101,240,96,38,32,9,0,random,10000
72,211,63,9,51,2,4,random,10000
204,63,39,42,69,6,15,random,10000
68,220,85,8,71,10,16,random,10000
209,60,82,35,62,20,14,random,10000
63,84,77,8,98,6,17,random,10000
116,181,57,5,39,8,8,random,10000
186,218,4,8,89,2,14,random,10000
144,167,94,18,37,20,8,random,10000
126,220,36,9,21,2,6,random,10000
10,176,33,5,12,15,10,random,10000
183,134,98,33,40,20,4,random,10000
248,40,5,1,45,8,1,random,10000
243,153,67,35,70,11,18,random,10000
5,210,86,31,74,3,10,random,10000
38,94,78,34,23,19,8,random,10000
15,195,90,31,59,15,5,random,10000
163,193,68,9,68,5,17,random,10000
59,172,78,47,27,2,6,random,10000
198,158,3,46,39,18,13,random,10000
202,205,3,6,22,9,8,random,10000
56,203,51,33,86,17,12,random,10000
76,21,85,20,59,20,19,random,10000
43,115,77,25,73,20,1,random,10000
128,218,13,27,2,6,17,random,10000
164,7,35,33,49,3,4,random,10000
205,182,91,40,49,15,13,random,10000
29,108,19,12,41,9,15,random,10000
125,35,6,47,78,14,12,random,10000
109,232,91,24,50,15,16,random,10000
191,135,39,14,99,15,19,random,10000
113,17,55,30,86,20,15,random,10000
51,229,3,38,58,5,18,random,10000
187,62,18,47,74,9,9,random,10000
85,238,72,41,61,2,0,random,10000
15,211,38,11,47,15,15,random,10000
229,61,53,41,10,16,2,random,10000
88,182,35,36,36,13,13,random,10000
22,217,73,5,51,6,13,random,10000
59,162,66,31,54,15,19,random,10000
4,234,34,35,31,6,7,random,10000
247,60,82,7,26,9,17,random,10000
106,175,51,14,49,10,1,random,10000
37,31,34,43,36,3,2,random,10000
98,189,93,32,29,1,10,random,10000
129,145,69,3,16,12,11,random,10000
84,223,8,26,82,12,15,random,10000
94,156,90,17,22,5,7,random,10000
234,165,9,29,6,4,15,random,10000
238,244,15,33,76,4,12,random,10000
73,74,4,15,39,13,0,random,10000
153,56,64,43,25,7,4,random,10000
77,229,72,26,52,4,8,random,10000
166,36,95,0,92,16,10,random,10000
165,143,51,18,48,15,8,random,10000
86,219,28,9,67,13,10,random,10000
155,120,86,44,66,9,18,random,10000
105,4,42,49,31,12,0,random,10000
7,224,24,17,96,17,11,random,10000
177,16,44,10,13,9,6,random,10000
140,67,30,23,36,16,18,random,10000
224,235,82,17,90,6,19,random,10000
55,93,65,15,55,4,11,random,10000
194,211,35,10,32,1,17,random,10000
29,7,23,26,41,2,12,random,10000
66,141,13,19,65,5,5,random,10000
243,97,66,20,29,8,20,random,10000
115,115,53,49,37,1,9,random,10000
106,103,26,18,73,13,19,random,10000
45,108,6,24,29,17,14,random,10000
122,56,97,3,49,2,17,random,10000
208,236,22,41,50,11,18,random,10000
88,0,19,35,87,8,15,random,10000
11,116,50,3,24,17,4,random,10000
162,237,29,3,42,5,10,random,10000
69,70,24,7,58,5,20,random,10000
225,94,58,49,66,11,19,random,10000
12,205,25,50,48,15,18,random,10000
131,217,62,39,2,14,1,random,10000
65,117,41,34,20,11,10,random,10000
153,71,75,4,82,8,0,random,10000
205,16,31,45,60,11,10,random,10000
85,192,12,39,19,1,16,random,10000
81,210,14,40,90,11,14,random,10000
220,34,18,14,89,16,6,random,10000
188,86,50,35,71,9,17,random,10000
127,50,54,47,40,14,3,random,10000
63,209,65,10,10,16,0,random,10000
204,13,50,50,32,17,8,random,10000
226,164,5,13,92,4,7,random,10000
54,239,24,30,57,7,18,random,10000
168,198,17,24,53,11,19,random,10000
20,121,61,39,10,8,2,random,10000
137,31,71,28,54,14,15,random,10000
180,156,61,9,8,4,12,random,10000
113,74,65,24,67,8,18,random,10000
114,115,30,5,17,16,8,random,10000
235,149,50,12,10,13,5,random,10000
66,219,51,33,29,8,5,random,10000
48,221,10,35,78,20,1,random,10000
217,189,10,35,28,18,3,random,10000
46,144,19,49,61,12,18,random,10000
44,158,82,42,75,7,13,random,10000
37,200,44,4,43,5,14,random,10000
145,17,89,26,82,6,14,random,10000
182,146,59,40,28,12,7,random,10000
220,186,72,25,60,13,19,random,10000
202,142,73,40,6,20,19,random,10000
134,167,55,40,5,7,11,random,10000
5,93,13,41,92,13,15,random,10000
104,209,74,34,27,19,1,random,10000
182,89,28,45,16,12,7,random,10000
181,55,86,30,46,1,2,random,10000
105,26,26,25,36,1,14,random,10000
248,72,34,31,49,17,4,random,10000
21,182,47,35,72,5,14,random,10000
4,0,31,10,2,2,9,random,10000
153,115,39,48,13,3,9,random,10000
154,19,92,4,79,19,15,random,10000
17,187,89,19,12,7,1,random,10000
141,141,44,15,29,5,9,random,10000
116,12,37,18,11,5,19,random,10000
205,76,50,23,23,5,11,random,10000
36,31,36,22,23,6,8,random,10000
59,206,34,19,53,9,7,random,10000
0,157,57,13,49,20,12,random,10000
9,85,15,28,60,10,2,random,10000
136,84,64,30,52,13,4,random,10000
72,151,67,40,87,2,1,random,10000
94,136,74,0,59,9,20,random,10000
68,93,91,48,10,20,12,random,10000
45,156,42,9,95,15,15,random,10000
27,124,3,16,10,18,11,random,10000
205,94,28,5,41,13,9,random,10000
244,73,99,24,45,6,17,random,10000
114,158,66,34,58,11,1,random,10000
242,97,20,14,33,14,0,random,10000
36,236,47,47,84,11,16,random,10000
202,74,57,50,6,18,1,random,10000
217,2,60,45,91,1,8,random,10000
1,206,44,38,80,11,5,random,10000
160,215,69,20,60,1,14,random,10000
119,10,41,37,99,6,20,random,10000
212,239,61,2,60,16,20,random,10000
165,15,22,39,55,15,7,random,10000
60,51,92,16,72,12,5,random,10000
82,153,5,1,92,6,9,random,10000
200,157,67,36,94,8,14,random,10000
157,176,77,36,50,15,8,random,10000
227,20,41,4,44,9,14,random,10000
152,228,24,41,54,10,8,random,10000
176,98,85,49,93,3,5,random,10000
7,19,34,47,91,11,1,random,10000
189,102,40,19,90,11,19,random,10000
68,231,2,10,60,2,6,random,10000
149,245,71,12,23,15,16,random,10000
51,146,15,28,58,14,20,random,10000
100,154,41,10,36,7,4,random,10000
210,189,54,5,47,10,3,random,10000
85,204,79,48,62,1,19,random,10000
66,92,40,43,29,2,16,random,10000
182,167,95,33,51,15,12,random,10000
150,245,83,46,65,6,18,random,10000
154,73,71,14,77,12,2,random,10000
152,90,4,34,65,14,11,random,10000
188,111,81,0,78,18,5,random,10000
176,75,49,18,42,15,3,random,10000
156,211,39,15,52,8,2,random,10000
66,179,92,34,85,9,19,random,10000
100,243,50,36,40,3,10,random,10000
193,125,24,30,23,19,8,random,10000
115,56,13,34,25,12,16,random,10000
235,156,18,27,34,6,19,random,10000
37,72,9,40,58,10,9,random,10000
200,109,12,45,10,15,3,random,10000
92,144,41,26,61,1,20,random,10000
122,229,27,40,54,5,4,random,10000
216,117,21,33,95,12,0,random,10000
33,200,43,49,57,8,18,random,10000
37,120,61,36,39,2,5,random,10000
169,180,69,28,72,20,6,random,10000
216,82,18,38,52,5,1,random,10000
226,89,45,10,47,20,2,random,10000
98,74,25,16,33,9,11,random,10000
232,47,2,11,9,16,13,random,10000
190,220,26,27,3,4,2,random,10000
211,212,2,16,26,7,4,random,10000
3,33,69,13,74,6,16,random,10000
51,86,46,26,77,10,4,random,10000
143,77,82,28,87,5,1,random,10000
143,95,23,0,4,7,8,random,10000
31,40,10,28,89,3,9,random,10000
149,175,66,46,93,8,7,random,10000
134,30,29,42,33,11,0,random,10000
109,77,25,5,52,13,6,random,10000
182,237,83,23,15,6,2,random,10000
199,189,32,2,97,3,18,random,10000
155,157,9,10,2,13,11,random,10000
168,144,25,15,18,12,10,random,10000
171,177,12,23,22,1,20,random,10000
180,198,22,37,7,13,13,random,10000
68,44,22,50,80,17,20,random,10000
146,18,80,32,88,10,19,random,10000
216,127,38,33,87,17,4,random,10000
54,242,30,21,95,9,8,random,10000
21,195,49,28,8,10,20,random,10000
244,98,66,33,2,6,11,random,10000
43,203,68,24,59,1,15,random,10000
205,95,49,28,39,20,3,random,10000
196,51,62,14,46,8,9,random,10000
108,185,5,5,92,17,8,random,10000
225,5,30,19,36,9,10,random,10000
16,223,64,21,0,11,18,random,10000
67,151,64,8,5,17,14,random,10000
1,168,17,41,19,6,20,random,10000
88,239,94,15,69,3,11,random,10000
111,132,84,14,67,6,9,random,10000
18,193,36,1,46,16,7,random,10000
99,50,30,20,22,1,8,random,10000
54,246,71,34,60,10,20,random,10000
27,120,84,12,81,16,3,random,10000
204,4,56,0,13,11,1,random,10000
39,248,51,38,38,3,17,random,10000
247,216,7,0,72,14,11,random,10000
94,45,6,23,0,20,7,random,10000
173,43,90,48,14,20,14,random,10000
213,137,84,41,2,19,10,random,10000
58,90,99,2,53,8,12,random,10000
233,46,17,10,67,1,6,random,10000
39,30,55,31,94,1,19,random,10000
